"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"722","Parks, Forestry & Recreation","Park Development","Eglinton Park Master Plan Implementation",700,2429,0,0,0,0,0,0,0,0,3129,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"723","Parks, Forestry & Recreation","Park Development","Six Points Park Expansion",105,0,0,0,0,0,0,0,0,0,105,"3","Etobicoke-Lakeshore","Growth Related"
"724","Parks, Forestry & Recreation","Park Development","1001 Ellesmere Road - Park Development",257,500,0,0,0,0,0,0,0,0,757,"21","Scarborough Centre","Growth Related"
"725","Economic Development and Culture","Major Maintenance","Theatre Passe Muraille AODA",50,0,0,0,0,0,0,0,0,0,50,"10","Spadina-Fort York","Legislated"
"726","Economic Development and Culture","Streetscape Master Plan Program","2023 Streetscape Master Plan Program",100,0,0,0,0,0,0,0,0,0,100,"CW","City Wide","Service Improvement and Enhancement"
"727","Economic Development and Culture","2023 BIA Equal Share Funding","2023 BIA Equal Share Funding",1309,0,0,0,0,0,0,0,0,0,1309,"CW","City Wide","State of Good Repair"
"728","Economic Development and Culture","Collections Care","Collections Facility Mechanical",66,0,0,0,0,0,0,0,0,0,66,"10","Spadina-Fort York","State of Good Repair"
"729","Economic Development and Culture","Collections Care","Collections Facility Mechanical",209,0,0,0,0,0,0,0,0,0,209,"10","Spadina-Fort York","State of Good Repair"
"730","Economic Development and Culture","Eglinton Crosstown BIA Streetscape Improvements","Eglinton Crosstown BIA Streetscape Improvements",0,260,260,170,0,0,0,0,0,0,690,"CW","City Wide","State of Good Repair"
"731","Economic Development and Culture","Cultural Infrastructure Development","Museum of Toronto Planning Study",150,0,0,0,0,0,0,0,0,0,150,"13","Toronto Centre","Growth Related"
"732","Parks, Forestry & Recreation","Community Centres","FMP-Western North York New CC (#5) Construction",0,0,0,20500,25000,0,0,0,0,0,45500,"7","Humber River-Black Creek","Growth Related"
"733","Parks, Forestry & Recreation","Park Development","Bathurst Quay - Canada Malting Waterfront Plaza",1000,5000,0,0,0,0,0,0,0,0,6000,"10","Spadina-Fort York","Growth Related"
"734","Parks, Forestry & Recreation","Outdoor Recreation Centres","East Mall Park New Fitness Equipment S42",17,158,0,0,0,0,0,0,0,0,175,"2","Etobicoke Centre","Service Improvement and Enhancement"
"735","Parks, Forestry & Recreation","Outdoor Recreation Centres","Park Lawn Track S42",25,395,0,0,0,0,0,0,0,0,420,"3","Etobicoke-Lakeshore","Service Improvement and Enhancement"
"736","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Spadina Garage Restoration & AODA",300,0,0,0,0,0,0,0,0,0,300,"12","Toronto-St. Pauls","State of Good Repair"
"737","Economic Development and Culture","Restoration/Preservation of Heritage Elements","2023 Reduction Target - John Mackenzie House",-5,0,0,0,0,0,0,0,0,0,-5,"18","Willowdale","State of Good Repair"
"738","Economic Development and Culture","Restoration/Preservation of Heritage Elements","2023 Reduction Target - Elevated Wetlands-2021",-281,0,0,0,0,0,0,0,0,0,-281,"16","Don Valley East","State of Good Repair"
"739","Economic Development and Culture","Restoration/Preservation of Heritage Elements","2023 Reduction Target - Todmorden Mills Centre",-100,0,0,0,0,0,0,0,0,0,-100,"14","Toronto-Danforth","State of Good Repair"
"740","Economic Development and Culture","2021 BIA Equal Share Funding","2023 Reduction Target - 2021 BIA Equal Share Fundi",-50,0,0,0,0,0,0,0,0,0,-50,"CW","City Wide","State of Good Repair"
"741","Economic Development and Culture","BIA Special Project","DUKE HeightsáBusiness Improvement Area Public Art",28,0,0,0,0,0,0,0,0,0,28,"CW","City Wide","Growth Related"
"742","Economic Development and Culture","Streetscape Master Plan Program","2023 Reduction Target - 2022 Streetscape Master Pl",-50,0,0,0,0,0,0,0,0,0,-50,"CW","City Wide","Service Improvement and Enhancement"
"743","Economic Development and Culture","BIA Financed Funding FF","2019 FF Toronto Entertainment District",1350,0,0,0,0,0,0,0,0,0,1350,"10","Spadina-Fort York","State of Good Repair"
"744","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Todmorden Mills Centre",300,0,0,0,0,0,0,0,0,0,300,"14","Toronto-Danforth","State of Good Repair"
"745","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Todmorden Mills Centre",100,0,0,0,0,0,0,0,0,0,100,"14","Toronto-Danforth","State of Good Repair"
"746","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Indigenous Artwork Exhibition Place",200,0,0,0,0,0,0,0,0,0,200,"10","Spadina-Fort York","Growth Related"
"747","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Colborne Lodge Roofing",150,350,0,0,0,0,0,0,0,0,500,"4","Parkdale-High Park","State of Good Repair"
"748","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Fort York Blockhouses Restoration",200,300,0,0,0,0,0,0,0,0,500,"10","Spadina-Fort York","State of Good Repair"
"749","Transportation Services","Local Road Rehabilitation","2023 to 2028 LRR Cash Flow",0,0,0,0,44526,61441,62730,64045,65386,69573,367701,"CW","City Wide","State of Good Repair"
"750","City Planning","PLACES - CIVIC IMPROVEMENTS","PLACES",51,1500,1800,1800,1800,1800,1800,1800,1800,1800,15951,"CW","City Wide","Growth Related"
"751","Transportation Services","Steeles Widenings (Tapscott Road - Beare Road)","2023 Adjustment Commitments",-3283,-7000,1640,5600,2700,0,0,0,0,0,-343,"CW","City Wide","Growth Related"
"752","Transportation Services","Glen Road Pedestrian Bridge","2023 Adjustment Commitments",-4884,4373,-1958,0,0,0,0,0,0,0,-2469,"11","University-Rosedale","Health and Safety"
"753","Transportation Services","TO360 Wayfinding","2023 Adjustment Commitments",0,604,0,0,0,0,0,0,0,0,604,"CW","City Wide","Service Improvement and Enhancement"
"754","Transportation Services","Don Mills Crossing Bridge","2023 Adjustment Commitments",0,4500,0,0,0,0,0,0,0,0,4500,"16","Don Valley East","Growth Related"
"755","City Planning","DEVELOPMENT STUDIES","Growth Studies",0,120,0,0,0,0,0,0,0,0,120,"CW","City Wide","Growth Related"
"756","City Planning","DEVELOPMENT STUDIES","Avenue/Area Studies",-150,0,0,0,0,0,0,0,0,0,-150,"CW","City Wide","Growth Related"
"757","IDS Transit Expansion","Preliminary SmartTrack Estimates (CCI111)","Flood Protection Program",4600,0,0,0,0,0,0,0,0,0,4600,"CW","City Wide","Growth Related"
"758","Transportation Services","Neighbourhood Improvements","MM47.56 Carlaw and Dundas Community (Boston Ave)",0,55,0,0,0,0,0,0,0,0,55,"CW","City Wide","Service Improvement and Enhancement"
"759","Transportation Services","Neighbourhood Improvements","MM47.23 Pleasant View Participatory Budget",0,120,0,0,0,0,0,0,0,0,120,"CW","City Wide","Service Improvement and Enhancement"
"760","Transportation Services","Neighbourhood Improvements","MPB4.1 Motion 6 University Ave at Wellington",0,198,0,0,0,0,0,0,0,0,198,"10","Spadina-Fort York","Service Improvement and Enhancement"
"761","Transportation Services","Traffic Plant Requirements/Signal Asset Management","2023 Reduction Target",-2000,-4000,0,0,0,0,0,0,0,0,-6000,"CW","City Wide","State of Good Repair"
"762","Transportation Services","Laneways","2023 Reduction Target",-1400,0,0,0,0,0,0,0,0,0,-1400,"CW","City Wide","State of Good Repair"
"763","Transportation Services","RSP Accessible Pedestrian Signals","2018 Adjustment",-89,-89,-89,0,0,0,0,0,0,0,-267,"CW","City Wide","Health and Safety"
"764","Transportation Services","Regent Park Revitalization","2023 Adjustment Commitments",789,0,0,0,0,0,0,0,0,0,789,"CW","City Wide","Growth Related"
"765","Waterfront Revitalization Initiative","Quayside","Quayside Transportation Infrastructure",25100,18320,20520,5460,0,0,0,0,0,0,69400,"10","Spadina-Fort York","Growth Related"
"766","Waterfront Revitalization Initiative","Quayside","Quayside Transportation Infrastructure",0,1400,9960,3640,0,0,0,0,0,0,15000,"10","Spadina-Fort York","Growth Related"
"767","Waterfront Revitalization Initiative","Toronto Waterfront Revitalization Initiative","EBF Local Infrastructure Charge",1974,5901,5568,0,0,0,0,0,0,0,13443,"10","Spadina-Fort York","Growth Related"
"768","Transportation Services","Port Union Road","2018 Adjust Cash Flow for 2018 to 2021",1845,0,0,0,0,0,0,0,0,0,1845,"25","Scarborough-Rouge Park","Growth Related"
"769","Transportation Services","Don Valley Parkway Rehabilitation","2022 Adjustment Commitments",0,4179,2558,0,0,0,0,0,0,0,6737,"CW","City Wide","State of Good Repair"
"770","Transportation Services","Dufferin Street Bridge Rehabilitation","2018 to 2023 Accelerated Cash Flow",7650,0,0,0,0,0,0,0,0,0,7650,"CW","City Wide","State of Good Repair"
"771","Transportation Services","Surface Network Transit Plan","2023 Commitment Adjustment",-943,-905,-1652,458,1014,1014,1014,0,0,0,0,"CW","City Wide","Service Improvement and Enhancement"
"772","Transportation Services","LARP P3 (Lawrence-Allen Revitalization Project)","2022 Submision",0,0,0,0,0,0,1500,3000,4500,0,9000,"8","Eglinton-Lawrence","Growth Related"
"773","Transportation Services","Neighbourhood Improvements","MM44.64 N.I. Ramsden Park Road Streetscape",0,433,0,0,0,0,0,0,0,0,433,"11","University-Rosedale","Service Improvement and Enhancement"
"774","Transportation Services","Metrolinx Additional Infrastructure","Metrolinx Additional Infrastructure",-4000,0,0,0,0,0,0,0,0,0,-4000,"CW","City Wide","Growth Related"
"775","Transportation Services","Metrolinx Additional Infrastructure","2022 Commitment Adjustment",7416,0,0,0,0,0,0,0,0,0,7416,"CW","City Wide","Growth Related"
"776","Transportation Services","Laneways","2021 Adjustment Commitments",0,700,1968,0,0,0,0,0,0,0,2668,"CW","City Wide","State of Good Repair"
"777","Transportation Services","Laneways","2022 Adjustment Commitments",0,0,0,1998,0,0,0,0,0,0,1998,"CW","City Wide","State of Good Repair"
"778","Transportation Services","Major Pooled Contingency","2022 Adjustment Commitments",-1637,1637,0,0,0,0,0,0,0,5000,5000,"CW","City Wide","State of Good Repair"
"779","Transportation Services","Broadview Extension","2022 Commitment Adjustment",0,4510,0,0,0,0,0,0,0,0,4510,"14","Toronto-Danforth","Growth Related"
"780","Transportation Services","Legion Road Extension & Grade Separation","2018 Adjust Cash Flow for 2018 to 2023",7695,0,0,0,0,0,0,0,0,0,7695,"3","Etobicoke-Lakeshore","Growth Related"
"781","Transportation Services","RSP Accessible Pedestrian Signals","Adjust Funding - 2017 to  2025",276,0,-1371,0,0,0,0,0,0,0,-1095,"CW","City Wide","Health and Safety"
"782","Transportation Services","Retaining Walls Rehabilitation","2021 Adjustment Commitments",1400,1421,0,0,0,0,0,0,0,0,2821,"CW","City Wide","State of Good Repair"
"783","Transportation Services","North York Service Road Extension","2022 Commitment Adjustment",800,4000,0,0,0,0,0,0,0,0,4800,"18","Willowdale","Growth Related"
"784","Transportation Services","RSP Transportation Safety & Local Improvement","2020 Adjustment Commitments",113,115,0,0,0,0,0,0,0,0,228,"CW","City Wide","Health and Safety"
"785","Transportation Services","RSP Missing Link Sidewalk","2023 Adjustment Commitments",-815,0,815,0,1200,0,0,0,0,0,1200,"CW","City Wide","Health and Safety"
"786","Transportation Services","RSP New Traffic Control Signals / Devices","2022 Adjustment Commitments",0,2781,0,0,0,0,0,0,0,0,2781,"CW","City Wide","Health and Safety"
"787","Transportation Services","Traffic Plant Requirements/Signal Asset Management","2021 Final Year End Adjustment",2732,4000,0,0,0,0,0,0,0,0,6732,"CW","City Wide","State of Good Repair"
"788","Transportation Services","LARP P2 (Lawrence-Allen Revitalization Project)","2022 Submision",0,945,924,924,0,0,0,0,0,0,2793,"8","Eglinton-Lawrence","Growth Related"
"789","Transportation Services","Engineering Studies","2022 Commitment Adjustment",640,0,1944,1944,0,0,0,0,0,0,4528,"CW","City Wide","Service Improvement and Enhancement"
"790","Transportation Services","Engineering Studies","2022 Commitment Adjustment",360,0,0,0,0,0,0,0,0,0,360,"CW","City Wide","Service Improvement and Enhancement"
"791","Transportation Services","Engineering Studies","2022 Commitment Adjustment",0,0,1094,1094,0,0,0,0,0,0,2188,"CW","City Wide","Service Improvement and Enhancement"
"792","Transportation Services","RSP Traffic Signals Major Modifications","2023 Adjustment Commitments",-131,-37,85,83,192,0,0,0,0,0,192,"CW","City Wide","Health and Safety"
"793","Transportation Services","F. G. Gardiner Rehabilitation Program","2018 - 2026 FGG AFP Plan B EX20.14",0,0,31470,0,0,0,0,0,0,0,31470,"CW","City Wide","State of Good Repair"
"794","Transportation Services","F. G. Gardiner Rehabilitation Program","2022 Commitment Adjustment",7513,-7604,-99547,0,0,0,0,0,0,0,-99638,"CW","City Wide","State of Good Repair"
"795","Transportation Services","Neighbourhood Improvements","2018-2027 Neighourhood Improvements",2000,500,0,0,0,0,0,0,0,0,2500,"CW","City Wide","Service Improvement and Enhancement"
"796","Transportation Services","Neighbourhood Improvements","MM31.26 Streetscape Improvements St Clair /OConnor",100,0,0,0,0,0,0,0,0,0,100,"19","Beaches-East York","Service Improvement and Enhancement"
"797","Transportation Services","John Street Revitalization Project","2021 Adjustment Commitments",0,0,11500,0,0,0,0,0,0,0,11500,"10","Spadina-Fort York","Growth Related"
"798","Transportation Services","John Street Revitalization Project","2022 Q1 In-year Adjustment",11,0,0,0,0,0,0,0,0,0,11,"10","Spadina-Fort York","Growth Related"
"799","Transportation Services","MoveTO","2022 Commitment Adjustment",-1,174,0,0,0,0,0,0,0,0,173,"CW","City Wide","Service Improvement and Enhancement"
"800","Transportation Services","City Bridge Rehabilitation","2021 Adjustment Commitments",19921,34379,0,0,0,0,0,0,0,0,54300,"CW","City Wide","Health and Safety"
"801","Corporate Real Estate Management","Barrier Free/Equity","AODA INITIATIVE - PHASE 1 .2016",1000,2000,0,2000,0,0,0,0,0,0,5000,"CW","City Wide","Legislated"
"802","Corporate Real Estate Management","Corporate Facilities Refurbishment Program","2023 Reduction Target - CFRP Phase II-2022",-500,0,0,0,0,0,0,0,0,0,-500,"CW","City Wide","State of Good Repair"
"803","Corporate Real Estate Management","USR - Professional Services","UNS - Walks and Garden Trust Commemoration",150,0,0,0,0,0,0,0,0,0,150,"10","Spadina-Fort York","Service Improvement and Enhancement"
"804","Corporate Real Estate Management","Sitework","VarLocs-SOGR Sitework 2021",2602.8,0,0,0,0,0,0,0,0,0,2602.8,"CW","City Wide","State of Good Repair"
"805","Corporate Real Estate Management","Sitework","VarLocs-SOGR Site Work 2022",-1481.65,1481.65,0,0,0,0,0,0,0,0,0,"CW","City Wide","State of Good Repair"
"806","Corporate Real Estate Management","Renovations","VarLocs-SOGR Interior Systems 2022",2779,504,0,0,0,0,0,0,0,0,3283,"CW","City Wide","State of Good Repair"
"807","Corporate Real Estate Management","Renovations","VarLocs-SOGR Interior Systems 2023",345,0,0,0,0,0,0,0,0,0,345,"CW","City Wide","State of Good Repair"
"808","Corporate Real Estate Management","Renovations","Capital Project Validation 2023",800,0,0,0,0,0,0,0,0,0,800,"CW","City Wide","State of Good Repair"
"809","Corporate Real Estate Management","Renovations","St Lawrence Market - South - Renovations",-825,-1325,-1500,0,0,0,0,0,0,0,-3650,"13","Toronto Centre","Service Improvement and Enhancement"
"810","Corporate Real Estate Management","Renovations","2023 Reduction Target - Feasibility Study-BCA 2022",-470,0,0,0,0,0,0,0,0,0,-470,"CW","City Wide","State of Good Repair"
"811","Corporate Real Estate Management","Real Estate Services","2023 Reduction Target - SOGR LEASED 2022",-500,0,0,0,0,0,0,0,0,0,-500,"CW","City Wide","State of Good Repair"
"812","Corporate Real Estate Management","Real Estate Services","New Etobicoke CC - Phase 4 Tender & Construction",-3970,4900,73422,165036,0,0,0,0,0,0,239388,"3","Etobicoke-Lakeshore","Service Improvement and Enhancement"
"813","Corporate Real Estate Management","Re-roofing","VarLocs-SOGR Re-roofing 2021",196,0,0,0,0,0,0,0,0,0,196,"CW","City Wide","State of Good Repair"
"814","Corporate Real Estate Management","Structural/Building Envelope","71 Front W-Union Station-Var SOGR 2021",1000,0,0,0,0,0,0,0,0,0,1000,"10","Spadina-Fort York","State of Good Repair"
"815","Corporate Real Estate Management","Structural/Building Envelope","VarLocs-SOGR Work Building Envelope 2022",2523,2905,0,0,0,0,0,0,0,0,5428,"CW","City Wide","State of Good Repair"
"816","Corporate Real Estate Management","Structural/Building Envelope","1050 Ellesmere Building - Facility Construction",0,8600,9874,500,0,0,0,0,0,0,18974,"21","Scarborough Centre","State of Good Repair"
"817","Corporate Real Estate Management","Structural/Building Envelope","71 Front W-Union Station-Var SOGR 2021",-1000,4900,1900,0,0,0,0,0,0,0,5800,"10","Spadina-Fort York","State of Good Repair"
"818","Corporate Real Estate Management","Structural/Building Envelope","VarLocs-SOGR Building Envelope 2020",200,300,500,0,0,0,0,0,0,0,1000,"CW","City Wide","State of Good Repair"
"819","Corporate Real Estate Management","Structural/Building Envelope","Var Locs-Client Projects 2023",1500,0,0,0,0,0,0,0,0,0,1500,"CW","City Wide","State of Good Repair"
"820","Corporate Real Estate Management","Mechanical and Electrical","FM Elevator Program 2021",1000,2200,0,0,0,0,0,0,0,0,3200,"CW","City Wide","State of Good Repair"
"821","Corporate Real Estate Management","Mechanical and Electrical","VarLocs-SOGR Mech&Elect Sys 2023",299.5,0,0,0,0,0,0,0,0,0,299.5,"CW","City Wide","State of Good Repair"
"822","Corporate Real Estate Management","Mechanical and Electrical","VarLocs-SOGR Mech&Elect Sys 2023",0,1167,4025,3128,4248,0,0,0,0,0,12568,"CW","City Wide","State of Good Repair"
"823","Corporate Real Estate Management","Transform TO","Transform TO ECDM Prior Years",500,0,0,0,0,0,0,0,0,0,500,"CW","City Wide","Service Improvement and Enhancement"
"824","Corporate Real Estate Management","Sitework","2023 Reduction Target - SOGR Sitework 2018 Group I",-544.87,0,0,0,0,0,0,0,0,0,-544.87,"CW","City Wide","State of Good Repair"
